csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-20,PTM,11:30,5843,843,11,Cavalo,8211,211,03,Burro,3426,426,07,Carneiro,0611,611,03,Burro,2230,230,08,Camelo
2024-01-20,PT,14:30,5862,862,16,Leão,7453,453,14,Gato,7809,809,03,Burro,6055,055,14,Gato,5518,518,05,Cachorro
2024-01-20,PTV,16:30,4802,802,01,Avestruz,2367,367,17,Macaco,3175,175,19,Pavão,8829,829,08,Camelo,0923,923,06,Cabra
2024-01-20,FED,,2605,605,02,Águia,0663,663,16,Leão,1627,627,07,Carneiro,6376,376,19,Pavão,0453,453,14,Gato
2024-01-20,COR,21:30,6230,230,08,Camelo,5819,819,05,Cachorro,4398,398,25,Vaca,1605,605,02,Águia,9630,630,08,Camelo
2024-01-21,PPT,09:30,2106,106,02,Águia,6116,116,04,Borboleta,2183,183,21,Touro,5545,545,12,Elefante,6910,910,03,Burro
2024-01-21,PTM,11:30,3863,863,16,Leão,1021,021,06,Cabra,7257,257,15,Jacaré,2688,688,22,Tigre,7334,334,09,Cobra
2024-01-21,PT,14:30,5514,514,04,Borboleta,8065,065,17,Macaco,9704,704,01,Avestruz,8268,268,17,Macaco,9034,034,09,Cobra
2024-01-21,PTV,16:30,5282,282,21,Touro,5061,061,16,Leão,9344,344,11,Cavalo,2143,143,11,Cavalo,5783,783,21,Touro
2024-01-22,PPT,09:30,2532,532,08,Camelo,8962,962,16,Leão,1128,128,07,Carneiro,2894,894,24,Veado,0384,384,21,Touro
2024-01-22,PTM,11:30,6176,176,19,Pavão,0907,907,02,Águia,9770,770,18,Porco,9055,055,14,Gato,6904,904,01,Avestruz
2024-01-22,PT,14:30,0480,480,20,Peru,3116,116,04,Borboleta,5454,454,14,Gato,7980,980,20,Peru,5703,703,01,Avestruz
2024-01-22,PTV,16:30,0945,945,12,Elefante,2615,615,04,Borboleta,2949,949,13,Galo,3587,587,22,Tigre,9100,100,25,Vaca
2024-01-22,PTN,,6870,870,18,Porco,4256,256,14,Gato,1000,000,25,Vaca,2795,795,24,Veado,0906,906,02,Águia
2024-01-22,COR,21:30,6175,175,19,Pavão,2645,645,12,Elefante,6680,680,20,Peru,4304,304,01,Avestruz,2355,355,14,Gato
2024-01-23,PPT,09:30,2357,357,15,Jacaré,0331,331,08,Camelo,0555,555,14,Gato,5888,888,22,Tigre,6977,977,20,Peru
2024-01-23,PTM,11:30,7157,157,15,Jacaré,3674,674,19,Pavão,0030,030,08,Camelo,1580,580,20,Peru,2857,857,15,Jacaré
2024-01-23,PT,14:30,2402,402,01,Avestruz,8730,730,08,Camelo,9777,777,20,Peru,2282,282,21,Touro,7631,631,08,Camelo
